,marketCap
MMM,103281819648
AOS,13207133184
ABT,226793291776
ABBV,205498368000
ABMD,15468694528
ACN,233574547456
ATVI,48587100160
ADM,36553875456
ADBE,327526449152
AAP,14490161152
AMD,187674673152
AES,16387829760
AFL,36675112960
A,49737392128
APD,65909211136
AKAM,18032031744
ALK,6608902144
ALB,32920555520
ARE,32015562752
ALGN,53879537664
ALLE,12001311744
LNT,14218001408
ALL,32090511360
GOOGL,1983561072640
GOOG,1983559630848
MO,79725363200
AMZN,1864565129216
AMCR,18244722688
AEE,21994399744
AAL,12484070400
AEP,41388998656
AXP,134416449536
AIG,45624872960
AMT,118853951488
AWK,31475058688
AMP,33516648448
ABC,25042489344
AME,32959182848
AMGN,116077854720
APH,50916106240
ADI,101463203840
ANSS,35121078272
ANTM,100777697280
AON,65392336896
APA,9445124096
AAPL,2634047553536
AMAT,135466442752
APTV,47626690560
ANET,9906823168
AJG,33871298560
AIZ,9086644224
T,172312330240
ATO,12567227392
ADSK,70906019840
ADP,100251467776
AZO,38993772544
AVB,33818716160
AVY,18092494848
BKR,19617777664
BLL,30996656128
BAC,371557236736
BBWI,20204814208
BAX,39684927488
BDX,71398309888
BBY,33483079680
BIO,23201122304
TECH,19706593280
BIIB,37779410944
BLK,138996449280
BK,47129604096
BA,125843988480
BKNG,96088178688
BWA,10995898368
BXP,18266847232
BSX,58467336192
BMY,128361791488
AVGO,234094231552
BR,20299726848
BRO,18227838976
CHRW,12513848320
CDNS,52135763968
CZR,20394039296
CPB,12259543040
COF,64405127168
CAH,13649810432
KMX,23828989952
CCL,23886422016
CTLT,21759707136
CAT,108426420224
CBOE,13808135168
CBRE,33362851840
CDW,26609852416
CE,18044280832
CNC,42601553920
CNP,16696391680
CERN,21401780224
CF,13981626368
CRL,19170416640
SCHW,151569399808
CHTR,122337427456
CVX,215727800320
CMG,49374814208
CB,81086988288
CHD,23057500160
CI,69768904704
CINF,19145160704
CTAS,46125137920
CSCO,224588791808
C,131636461568
CFG,21143781376
CTXS,10613926912
CLX,20515663872
CME,80257392640
CMS,17642547200
KO,238129627136
CTSH,43065409536
CL,65067941888
CMCSA,237172637696
CMA,11531931648
CAG,14736075776
COP,91812110336
ED,27603034112
STZ,44178456576
CPRT,36141592576
GLW,32130811904
COST,235841224704
CTRA,16263424000
CCI,79412985856
CSX,80024715264
CMI,32023435264
CVS,122976796672
DHI,36374155264
DHR,224470089728
DRI,18580021248
DVA,10144145408
DE,107327610880
DAL,25402155008
XRAY,11695295488
DVN,29323307008
DXCM,62705074176
FANG,19538817024
DLR,46264909824
DFS,35385909248
DISCA,12628575232
DISCK,13755943936
DISH,18105559040
DG,52517818368
DLTR,31139823616
D,60642545664
DPZ,20844251136
DOV,25414631424
DTE,21577314304
DUK,75667881984
DRE,21835376640
DD,42315931648
DXC,8180105728
EMN,15501402112
ETN,69068021760
EBAY,50903900160
ECL,66017132544
EIX,24511694848
EW,72750178304
EA,39499677696
LLY,250622001152
EMR,56713625600
ENPH,34532683776
ETR,21162768384
EOG,52306444288
EFX,35195289600
EQIX,71022534656
EQR,32916180992
ESS,22789914624
EL,125864173568
ETSY,36894187520
RE,10998912000
EVRG,14918468608
ES,28579805184
EXC,52317949952
EXPE,25945427968
EXPD,21534654464
EXR,27188238336
XOM,269295484928
FFIV,14273989632
FB,960341999616
FAST,35099688960
FRT,10089411584
FDX,64934494208
FIS,67817304064
FITB,30990958592
FRC,38618284032
FE,20999981056
FISV,67510362112
FLT,18944530432
FMC,13542395904
F,78076477440
FTNT,56101367808
FBHS,14893467648
BEN,17598167040
FCX,56847908864
GPS,9364529152
GRMN,27772635136
IT,28845092864
